UnitID;UnitName;ModuleID;UnitDescription
u_chatbots;AI-based chatbots in healthcare;app_chatbots;"Chatbots; Natural Language Processing; Effectiveness of chatbots in healthcare; humanlike chatbots"
u_zero_shot;Zero-Shot Diagnostic Decision Support;app_chatbots;"Diagnostic error; rare diseases; diagnostics; unstructured data; retrieval-based methods; zero-shot reasoning"
u_prompts;Strategies for effective prompts;app_chatbots;"LLMs; Prompt Engineering; Input to LLMs; Zero-shot prompting; Few-shot prompting; Chain-of-thought prompting"
u_allergology;Digital Allergology;app_chatbots;"Allergology; Telemedicine, AI-powered ambient note taking; Anamnesis Chatbot"
u_apps_allergology;Apps in Allergology;app_chatbots;"App-based diaries; Symptom recording; Tracking of treatment responses; Alert systems; "
u_shared;Implications for shared decision-making;app_ethics;"Ethics; Shared decision making; Informed consent; Reponsibility of Physician; Responsibility of Patient; ML-based systems; Therapy planning; Disagreement challenges;"
u_quality;Quality of training data - ethical aspects;app_ethics;"Ethics; Training data; Accuracy of ML models; Representativity of training data; Suitable proxies; Correlation vs. causality; "
u_human_aspects;Human aspects of AI;app_ethics;"Ethics; Hallucinating AI; Role of AI; Role of Physicians; Patient-Physicial-Relationship"
u_med_liability;Medical Liability: Use of AI in Medicine;app_ethics;"Law; Civil Liability; Obligations of Physicians; Medical liability; AI systems for medical treatment; ""Neulandmethode"" vs. medical standard; Liability for malfunctions; "
u_inf_sec;Information security of AI systems;app_ethics;"Privacy; Data protection; Information security; Complience; Copyright; Cloud services;"
u_mii;Medical informatics initiative;app_ethics;"Data integration; Data processing; Data sharing; Data protection; Example; Medical informatics initiative"
u_four_principles;The 4 Principles of Biomedical Ethics;app_ethics;"Ethics; Autonomy; Justice; Non-maleficence; Beneficence"
u_haptic;Machine learning enables new haptic sensors;app_med_advances;"Application; Haptic sensations; Robots; Supervised Learning; Prosthetics; Surgery Robots"
u_neuroimg;Deep Learning for Neuroimaging Data;app_med_advances;"Application; Structural MRI data; Functional MRI data; Time-series data; classical ML approaches; Deep learning approaches; Convolutional neural networks; "
u_radiology;AI in Radiology - Hope or Hype?;app_med_advances;"Application; Radiology; Scheduling; Scan planning; Image acquisition; Diagnostics"
u_segmentct;Segmentation of CT scans for radiotherapy treatment planning;app_med_advances;"Application; Radiotherapy; Treatment planning; CT; MRI; Segmentation; "
u_segmentmri;MRI data segmentation;app_med_advances;"Application; MRI data; Segmentation; Pediatric Hydrocephalus; Convolutional Neural Networks; Neurofibromatosis type II; "
u_annot;Annotation of medical images;app_med_advances;"Application; Image annotation; CT; MRI; Network Architectures; U-Net"
u_echo;Artificial intelligence in echocardiography;app_med_advances;"Application; Echocardiography; Classification; Outcome prediction; Automatic measurements & quantification; Deep learning"
u_mri;Deep learning based magnetic resonance image reconstruction;app_med_advances;"Application; Magnetic resonance imaging; Deep learning; Image reconstruction; "
u_preclinic;Linear Regression Used in a Preclinical Study;app_med_advances;tbd
u_medicineai;AI in medicine;app_med_advances;"Application; Overview; Approved Applications (US)"
u_vec;Vector;math_foundations;"This learning unit is about vectors; mathematical objects that store a list of numbers. This learning unit also introduces simple calculations involving vectors; such as addition and scalar multiplication."
u_mat;Matrix;math_foundations;"This learning unit is about matrices; which are two-dimensional arrays of numbers. It covers simple calculations; for example matrix multiplication."
u_normlen;Norms & Length;math_foundations;"Details about Norms & Length; concepts crucial for distance."
u_angleortho;Angles, Length & Orthogonality;math_foundations;"Understanding geometric relationships; angles; orthogonality."
u_proj;Projections;math_foundations;Projecting vectors onto other vectors or subspaces.
u_sets;Sets;math_foundations;"Basic set theory; operations; and notation."
u_argminmax;Argmin and Argmax;math_foundations;Finding arguments that minimize or maximize functions.
u_entropy;Entropy;math_info_theory;Measure of uncertainty or randomness in information theory.
u_kldiv;KL divergence;math_info_theory;"Kullback-Leibler divergence; measuring difference between probability distributions."
u_eigenval;Eigenvalues;math_linear_algebra;Eigenvalues representing scaling factors of eigenvectors.
u_eigenvec;Eigenvectors;math_linear_algebra;Eigenvectors that remain in the same direction after linear transformation.
u_trace;Trace;math_linear_algebra;"The trace of a square matrix; sum of diagonal elements."
